begin,open,close,high,low,value,volume,log_return
2014-08-22,78.49,78.45,78.89,76.88,10851871560.099993,139567560,0.003959389552117054
2014-08-25,78.53,78.46,79.69,78.25,9294391218.600002,117677970,0.00012746160236472745
2014-08-26,78.6,77.62,78.92,77.24,6155633613.499997,78921420,-0.010763814840646138
2014-08-27,77.89,77.93,78.39,77.51,6358565106.8,81493260,0.003985861914709263
2014-08-28,77.46,74.59,77.87,74.45,17577035274.0,231820440,-0.04380453788839771
2014-08-29,74.49,73.21,74.97,72.56,14242612092.1,193460210,-0.018674426308520668
2014-09-01,73.51,73.68,74.94,72.52,12118090739.3,164429290,0.006399368288500194
2014-09-02,73.67,73.76,74.49,72.94,7701340899.6,104627840,0.0010851873012869833
2014-09-03,74.19,78.5,78.75,73.75,21333848810.2,277102210,0.06228204554002433
2014-09-04,78.6,79.39,79.95,77.18,12434841180.8,158504110,0.011273790948659207
2014-09-05,78.8,80.25,81.3,78.5,12760679862.3,159432130,0.010774346273103277
2014-09-08,80.25,78.69,80.39,78.26,8586491913.2,108470700,-0.019630679463233262
2014-09-09,78.85,79.41,80.2,78.69,8416207166.7,105818380,0.009108222360227626
2014-09-10,78.8,78.67,79.4,78.39,6806564900.8,86323660,-0.009362416565968442
2014-09-11,79.05,76.3,79.55,76.14,11862400181.6,153119340,-0.0305889500507399
2014-09-12,76.0,76.65,77.77,75.13,11142306440.4,145526680,0.0045766670274118935
2014-09-15,76.3,75.63,77.08,75.45,9667420501.4,127147020,-0.013396575449885073
2014-09-16,75.85,77.6,77.9,75.63,10911100950.9,141626080,0.02571439732123501
2014-09-17,77.5,78.66,78.92,76.55,11680433036.9,150425900,0.01356733981449036
2014-09-18,78.62,77.98,79.3,77.71,8031614350.0,102250150,-0.008682383449212103
2014-09-19,78.3,77.4,78.46,76.62,9528065775.8,122982290,-0.0074656029587697875
2014-09-22,77.2,76.0,77.69,75.89,6471712224.7,84589910,-0.01825344030935046
2014-09-23,76.32,77.68,77.84,76.2,7511750614.8,97635080,0.021864483696738504
